ABV,Popularity,Median_IBU,Style_Barleywine - American,Style_Barleywine - English,Style_Bitter - English,Style_Bitter - English Extra Special / Strong Bitter (ESB),Style_Bière de Champagne / Bière Brut,Style_Blonde Ale - American,Style_Blonde Ale - Belgian,Style_Bock - Doppelbock,Style_Bock - Eisbock,Style_Bock - Maibock,Style_Bock - Traditional,Style_Bock - Weizenbock,Style_Braggot,Style_Brett Beer,Style_Brown Ale - American,Style_Brown Ale - Belgian Dark,Style_Brown Ale - English,Style_California Common / Steam Beer,Style_Chile Beer,Style_Cream Ale,Style_Dubbel,Style_Farmhouse Ale - Bière de Garde,Style_Farmhouse Ale - Sahti,Style_Farmhouse Ale - Saison,Style_Fruit and Field Beer,Style_Gruit / Ancient Herbed Ale,Style_Happoshu,Style_Herb and Spice Beer,Style_IPA - American,Style_IPA - Belgian,Style_IPA - Black / Cascadian Dark Ale,Style_IPA - Brut,Style_IPA - English,Style_IPA - Imperial,Style_IPA - New England,Style_Kvass,Style_Kölsch,Style_Lager - Adjunct,Style_Lager - American,Style_Lager - American Amber / Red,Style_Lager - European / Dortmunder Export,Style_Lager - European Dark,Style_Lager - European Pale,Style_Lager - European Strong,Style_Lager - Helles,Style_Lager - India Pale Lager (IPL),Style_Lager - Japanese Rice,Style_Lager - Kellerbier / Zwickelbier,Style_Lager - Light,Style_Lager - Malt Liquor,Style_Lager - Munich Dunkel,Style_Lager - Märzen / Oktoberfest,Style_Lager - Rauchbier,Style_Lager - Schwarzbier,Style_Lager - Vienna,Style_Lambic - Faro,Style_Lambic - Fruit,Style_Lambic - Gueuze,Style_Lambic - Traditional,Style_Low Alcohol Beer,Style_Mild Ale - English Dark,Style_Mild Ale - English Pale,Style_Old Ale,Style_Pale Ale - American,Style_Pale Ale - Belgian,Style_Pale Ale - English,Style_Pilsner - Bohemian / Czech,Style_Pilsner - German,Style_Pilsner - Imperial,Style_Porter - American,Style_Porter - Baltic,Style_Porter - English,Style_Porter - Imperial,Style_Porter - Robust,Style_Porter - Smoked,Style_Pumpkin Beer,Style_Quadrupel (Quad),Style_Red Ale - American Amber / Red,Style_Red Ale - Imperial,Style_Red Ale - Irish,Style_Rye Beer,Style_Rye Beer - Roggenbier,Style_Scotch Ale / Wee Heavy,Style_Scottish Ale,Style_Smoked Beer,Style_Sour - Berliner Weisse,Style_Sour - Flanders Oud Bruin,Style_Sour - Flanders Red Ale,Style_Sour - Gose,Style_Stout - American,Style_Stout - American Imperial,Style_Stout - English,Style_Stout - Foreign / Export,Style_Stout - Irish Dry,Style_Stout - Oatmeal,Style_Stout - Russian Imperial,Style_Stout - Sweet / Milk,Style_Strong Ale - American,Style_Strong Ale - Belgian Dark,Style_Strong Ale - Belgian Pale,Style_Strong Ale - English,Style_Tripel,Style_Wheat Beer - American Dark,Style_Wheat Beer - American Pale,Style_Wheat Beer - Dunkelweizen,Style_Wheat Beer - Hefeweizen,Style_Wheat Beer - Kristallweizen,Style_Wheat Beer - Wheatwine,Style_Wheat Beer - Witbier,Style_Wild Ale,Style_Winter Warmer
5.3,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,1,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,1,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.8,1,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
